#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AAO3	ATAF1	3702.AT2G27150.2	3702.AT1G01720.1	0	0	0	0	0.082	0	0	0.385	0.411
AAO3	ABF2	3702.AT2G27150.2	3702.AT1G45249.3	0	0	0	0	0	0	0	0.713	0.713
AAO3	ABF1	3702.AT2G27150.2	3702.AT1G49720.2	0	0	0	0	0	0	0	0.567	0.567
AAO3	bZIP	3702.AT2G27150.2	3702.AT1G68880.1	0	0	0	0	0	0	0	0.465	0.465
AAO3	DREB2A	3702.AT2G27150.2	3702.AT5G05410.1	0	0	0	0	0	0	0	0.407	0.407
AAO3	SNRK2.3	3702.AT2G27150.2	3702.AT5G66880.1	0	0	0	0	0	0	0	0.412	0.412
AAO3	LTI65	3702.AT2G27150.2	3702.AT5G52300.1	0	0	0	0	0	0	0	0.428	0.428
AAO3	SNRK2.2	3702.AT2G27150.2	3702.AT3G50500.2	0	0	0	0	0	0	0	0.499	0.499
AAO3	OST1	3702.AT2G27150.2	3702.AT4G33950.1	0	0	0	0	0	0	0	0.516	0.516
AAO3	PYR1	3702.AT2G27150.2	3702.AT4G17870.1	0	0	0	0	0	0	0	0.549	0.549
AAO3	PLL4	3702.AT2G27150.2	3702.AT2G28890.1	0	0	0	0	0.060	0	0	0.547	0.555
AAO3	P5CS1	3702.AT2G27150.2	3702.AT2G39800.1	0	0	0	0	0	0	0	0.580	0.580
AAO3	ABI5	3702.AT2G27150.2	3702.AT2G36270.1	0	0	0	0	0	0	0	0.637	0.637
AAO3	ABI3	3702.AT2G27150.2	3702.AT3G24650.1	0	0	0	0	0	0	0	0.637	0.637
AAO3	RD22	3702.AT2G27150.2	3702.AT5G25610.1	0	0	0	0	0	0	0	0.645	0.645
AAO3	ABI1	3702.AT2G27150.2	3702.AT4G26080.1	0	0	0	0	0.075	0	0	0.653	0.665
AAO3	ABF4	3702.AT2G27150.2	3702.AT3G19290.3	0	0	0	0	0	0	0	0.669	0.669
AAO3	ABF3	3702.AT2G27150.2	3702.AT4G34000.1	0	0	0	0	0	0	0	0.669	0.669
AAO3	ABI2	3702.AT2G27150.2	3702.AT5G57050.1	0	0	0	0	0.111	0	0	0.645	0.671
AAO3	NCED3	3702.AT2G27150.2	3702.AT3G14440.1	0	0	0	0	0	0	0	0.933	0.933
AAO3	ABA1	3702.AT2G27150.2	3702.AT5G67030.1	0	0	0	0	0.048	0	0	0.952	0.952
ABA1	APX1	3702.AT5G67030.1	3702.AT1G07890.8	0	0	0	0	0.054	0	0	0.430	0.437
ABA1	COR47	3702.AT5G67030.1	3702.AT1G20440.1	0	0	0	0	0	0	0	0.590	0.590
ABA1	MYC2	3702.AT5G67030.1	3702.AT1G32640.1	0	0	0	0	0	0	0	0.404	0.404
ABA1	ABF2	3702.AT5G67030.1	3702.AT1G45249.3	0	0	0	0	0.105	0	0	0.565	0.594
ABA1	XYL1	3702.AT5G67030.1	3702.AT1G68560.1	0	0	0	0	0	0	0	0.593	0.593
ABA1	bZIP	3702.AT5G67030.1	3702.AT1G68880.1	0	0	0	0	0	0	0	0.616	0.616
ABA1	KUP6	3702.AT5G67030.1	3702.AT1G70300.1	0	0	0	0	0	0	0	0.604	0.604
ABA1	ADH1	3702.AT5G67030.1	3702.AT1G77120.1	0	0	0	0	0.083	0	0	0.381	0.408
ABA1	AAO3	3702.AT5G67030.1	3702.AT2G27150.2	0	0	0	0	0.048	0	0	0.952	0.952
ABA1	PLL4	3702.AT5G67030.1	3702.AT2G28890.1	0	0	0	0	0	0	0	0.580	0.580
ABA1	ABI5	3702.AT5G67030.1	3702.AT2G36270.1	0	0	0	0	0	0	0	0.759	0.759
ABA1	P5CS1	3702.AT5G67030.1	3702.AT2G39800.1	0	0	0	0	0.181	0	0.133	0.591	0.684
ABA1	COR15A	3702.AT5G67030.1	3702.AT2G42540.2	0	0	0	0	0.086	0	0	0.580	0.599
ABA1	GolS1	3702.AT5G67030.1	3702.AT2G47180.1	0	0	0	0	0.099	0	0	0.494	0.524
ABA1	HSP70	3702.AT5G67030.1	3702.AT3G12580.1	0	0	0	0	0	0	0	0.402	0.402
ABA1	NCED3	3702.AT5G67030.1	3702.AT3G14440.1	0	0	0	0	0	0	0	0.954	0.954
ABA1	ABF4	3702.AT5G67030.1	3702.AT3G19290.3	0	0	0	0	0.047	0	0	0.462	0.465
ABA1	AOX1A	3702.AT5G67030.1	3702.AT3G22370.1	0	0	0	0	0	0	0	0.549	0.549
ABA1	ABI3	3702.AT5G67030.1	3702.AT3G24650.1	0	0	0	0	0	0	0	0.756	0.756
ABA1	KIN11	3702.AT5G67030.1	3702.AT3G29160.1	0	0	0	0	0	0	0	0.426	0.426
ABA1	ACT12	3702.AT5G67030.1	3702.AT3G46520.1	0	0	0	0	0	0	0	0.549	0.549
ABA1	SNRK2.2	3702.AT5G67030.1	3702.AT3G50500.2	0	0	0	0	0	0	0	0.482	0.482
ABA1	AT-HSFB2B	3702.AT5G67030.1	3702.AT4G11660.1	0	0	0	0	0	0	0	0.589	0.589
ABA1	PYR1	3702.AT5G67030.1	3702.AT4G17870.1	0	0	0	0	0	0	0	0.599	0.599
ABA1	ABI1	3702.AT5G67030.1	3702.AT4G26080.1	0	0	0	0	0	0	0	0.878	0.878
ABA1	OST1	3702.AT5G67030.1	3702.AT4G33950.1	0	0	0	0	0	0	0	0.581	0.581
ABA1	ABF3	3702.AT5G67030.1	3702.AT4G34000.1	0	0	0	0	0.144	0	0	0.387	0.453
ABA1	CAT	3702.AT5G67030.1	3702.AT4G35090.1	0	0	0	0	0.427	0	0	0.447	0.670
ABA1	AP2	3702.AT5G67030.1	3702.AT4G36920.2	0	0	0	0	0	0	0	0.598	0.598
